,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
106,Cuba,67,+10,1,,1,65,2,6,0.09
107,Montenegro,67,+14,1,,,66,1,107,2
108,Martinique,66,,1,,,65,7,176,3
109,Uzbekistan,65,+5,,,,65,4,2,
110,Trinidad and Tobago,61,+1,1,,,60,,44,0.7
111,Honduras,52,,1,+1,,51,,5,0.1
112,DRC,51,+3,3,+1,,48,,0.6,0.03
113,Nigeria,51,,1,,2,48,,0.2,0.00
114,Liechtenstein,51,,,,,51,,"1,338",
115,Channel Islands,46,,1,+1,,45,,265,6
116,Bangladesh,44,+5,5,,11,28,1,0.3,0.03
117,Kyrgyzstan,44,,,,,44,,7,
118,Paraguay,41,+4,3,,,38,1,6,0.4
119,Rwanda,41,,,,,41,,3,
120,Bolivia,40,+8,,,,40,,3,
121,Mayotte,36,,,,,36,,132,
122,Kenya,31,+3,1,+1,1,29,,0.6,0.02
123,Macao,31,,,,10,21,,48,
124,Monaco,31,,,,1,30,,790,
125,French Guiana,28,,,,6,22,,94,
126,Jamaica,26,,1,,2,23,,9,0.3
127,Gibraltar,26,,,,5,21,,772,
128,French Polynesia,25,,,,,25,,89,
129,Isle of Man,25,+2,,,,25,,294,
130,Guatemala,24,,1,,4,19,,1,0.06
131,Madagascar,23,+4,,,,23,,0.8,
132,Togo,23,,,,1,22,,3,
133,Aruba,19,,,,1,18,,178,
134,Barbados,18,,,,,18,,63,
135,Zambia,16,+4,,,,16,,0.9,
136,New Caledonia,14,,,,,14,,49,
137,Uganda,14,,,,,14,,0.3,
138,El Salvador,13,+4,,,,13,,2,
139,Maldives,13,,,,8,5,,24,
140,Tanzania,13,,,,,13,,0.2,
141,Ethiopia,12,,,,,12,,0.1,
142,Djibouti,11,,,,,11,,11,
143,Dominica,11,,,,,11,,153,
144,Mongolia,11,+1,,,,11,,3,
145,Saint Martin,11,,,,,11,,284,
146,Equatorial Guinea,9,,,,,9,,6,
147,Cayman Islands,8,,1,,,7,,122,15
148,Haiti,8,,,,,8,,0.7,
149,Suriname,8,,,,,8,,14,
150,Gabon,7,+1,1,,,6,,3,0.4
151,Niger,7,,1,,,6,,0.3,0.04
152,Bermuda,7,,,,2,5,,112,
153,Namibia,7,,,,2,5,,3,
154,Seychelles,7,,,,,7,,71,
155,Curaçao,6,,1,,2,3,,37,6
156,Benin,6,,,,,6,,0.5,
157,Greenland,6,,,,2,4,,106,
158,Laos,6,+3,,,,6,,0.8,
159,Guyana,5,,1,,,4,,6,1
160,Bahamas,5,,,,1,4,,13,
161,Fiji,5,,,,,5,,6,
162,Mozambique,5,,,,,5,,0.2,
163,Syria,5,,,,,5,,0.3,
164,Cabo Verde,4,,1,,,3,,7,2
165,Congo,4,,,,,4,,0.7,
166,Eritrea,4,,,,,4,,1,
167,Guinea,4,,,,,4,,0.3,
168,Vatican City,4,,,,,4,,"4,994",
169,Mali,4,+2,,,,4,,0.2,
170,Eswatini,4,,,,,4,,3,
171,Gambia,3,,1,,,2,,1,0.4
172,Sudan,3,,1,,,2,,0.07,0.02
173,Zimbabwe,3,,1,,,2,,0.2,0.07
174,Nepal,3,,,,1,2,,0.1,
175,Angola,3,,,,,3,,0.09,
176,Antigua and Barbuda,3,,,,,3,,31,
177,CAR,3,,,,,3,,0.6,
178,Chad,3,,,,,3,,0.2,
179,Liberia,3,,,,,3,,0.6,
180,Mauritania,3,+1,,,,3,,0.6,
181,Myanmar,3,,,,,3,,0.06,
182,St. Barth,3,,,,,3,,304,
183,Saint Lucia,3,,,,,3,,16,
184,Sint Maarten,3,,,,,3,,70,
185,Belize,2,,,,,2,,5,
186,Bhutan,2,,,,,2,,3,
187,British Virgin Islands,2,,,,,2,,66,
188,Guinea-Bissau,2,,,,,2,,1,
189,Nicaragua,2,,,,,2,,0.3,
190,Saint Kitts and Nevis,2,,,,,2,,38,
191,Somalia,2,+1,,,,2,,0.1,
192,Grenada,1,,,,,1,,9,
193,Libya,1,,,,,1,,0.1,
194,Montserrat,1,,,,,1,,200,
195,Papua New Guinea,1,,,,,1,,0.1,
196,St. Vincent Grenadines,1,,,,,1,,9,
197,Timor-Leste,1,,,,,1,,0.8,
198,Turks and Caicos,1,,,,,1,,26,
199,Total:,"510,645","39,677","23,079","1,801","122,245","365,321","18,538",65.5,3.0
