,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
110,Channel Islands,88,,1,,,87,,506,6,Mar 08
111,Montenegro,82,,1,,,81,1,131,2,Mar 16
112,Trinidad and Tobago,74,+8,2,,1,71,,53,1,Mar 11
113,Bolivia,74,+13,,,,74,,6,,Mar 09
114,Mayotte,63,+13,,,,63,,231,,Mar 13
115,DRC,58,+7,6,+3,2,50,,0.6,0.07,Mar 09
116,Kyrgyzstan,58,,,,,58,,9,,Mar 17
117,Paraguay,56,+4,3,,1,52,1,8,0.4,Mar 06
118,Gibraltar,56,+1,,,14,42,,"1,662",,Mar 02
119,Liechtenstein,56,,,,,56,,"1,469",,Mar 02
120,Rwanda,54,,,,,54,,4,,Mar 13
121,Bangladesh,48,,5,,15,28,1,0.3,0.03,Mar 07
122,Monaco,42,,,,1,41,,"1,070",,Feb 27
123,Aruba,40,+7,,,1,39,,375,,Mar 12
124,Kenya,38,+7,1,,1,36,2,0.7,0.02,Mar 12
125,Macao,34,,,,10,24,,52,,Jan 21
126,Guatemala,32,+4,1,,4,27,1,2,0.06,Mar 12
127,Isle of Man,32,+3,,,,32,,376,,Mar 18
128,Jamaica,30,+4,1,,2,27,,10,0.3,Mar 09
129,French Polynesia,30,,,,,30,,107,,Mar 10
130,French Guiana,28,,,,6,22,,94,,Mar 06
131,Zambia,28,+6,,,,28,,2,,Mar 17
132,Barbados,26,,,,,26,,90,,Mar 16
133,Madagascar,26,,,,,26,,0.9,,Mar 19
134,Togo,25,,1,,1,23,,3,0.1,Mar 05
135,Uganda,23,,,,,23,,0.5,,Mar 20
136,El Salvador,19,+6,,,,19,,3,,Mar 18
137,Mali,18,+7,,,,18,,0.9,,Mar 24
138,Bermuda,17,,,,2,15,,273,,Mar 17
139,Ethiopia,16,,,,1,15,,0.1,,Mar 12
140,Maldives,16,,,,9,7,,30,,Mar 06
141,New Caledonia,15,,,,,15,,53,,Mar 17
142,Tanzania,13,,,,1,12,,0.2,,Mar 15
143,Djibouti,12,,,,,12,,12,,Mar 17
144,Equatorial Guinea,12,,,,,12,,9,,Mar 13
145,Mongolia,12,+1,,,,12,,4,,Mar 09
146,Dominica,11,,,,,11,,153,,Mar 21
147,Saint Martin,11,,,,,11,,284,,Feb 29
148,Niger,10,,1,,,9,,0.4,0.04,Mar 18
149,Bahamas,10,,,,1,9,,25,,Mar 14
150,Greenland,10,,,,2,8,,176,,Mar 15
151,Eswatini,9,,,,,9,,8,,Mar 13
152,Cayman Islands,8,,1,,,7,,122,15,Mar 12
153,Curaçao,8,,1,,2,5,,49,6,Mar 12
154,Guinea,8,,,,,8,,0.6,,Mar 12
155,Haiti,8,,,,,8,,0.7,,Mar 19
156,Mozambique,8,+1,,,,8,,0.3,,Mar 21
157,Myanmar,8,,,,,8,,0.1,,Mar 22
158,Namibia,8,,,,2,6,,3,,Mar 13
159,Suriname,8,,,,,8,,14,,Mar 12
160,Gabon,7,,1,,,6,,3,0.4,Mar 12
161,Zimbabwe,7,+2,1,,,6,,0.5,0.07,Mar 19
162,Antigua and Barbuda,7,,,,,7,,71,,Mar 12
163,Grenada,7,,,,,7,,62,,Mar 21
164,Seychelles,7,,,,,7,,71,,Mar 13
165,Benin,6,,,,,6,,0.5,,Mar 15
166,Eritrea,6,,,,,6,,2,,Mar 20
167,Vatican City,6,+2,,,,6,,"7,491",,Mar 05
168,Laos,6,,,,,6,,0.8,,Mar 23
169,Cabo Verde,5,,1,,,4,,9,2,Mar 19
170,Guyana,5,,1,,,4,,6,1,Mar 11
171,Sudan,5,+2,1,,,4,,0.1,0.02,Mar 12
172,Nepal,5,+1,,,1,4,,0.2,,Jan 23
173,Fiji,5,,,,,5,,6,,Mar 18
174,Mauritania,5,+2,,,,5,,1,,Mar 12
175,Montserrat,5,,,,,5,,"1,002",,Mar 17
176,St. Barth,5,,,,,5,,506,,Feb 29
177,Syria,5,,,,,5,,0.3,,Mar 21
178,Nicaragua,4,,1,,,3,,0.6,0.2,Mar 18
179,Angola,4,,,,,4,,0.1,,Mar 19
180,Congo,4,,,,,4,,0.7,,Mar 14
181,Gambia,3,,1,,,2,,1,0.4,Mar 16
182,Bhutan,3,,,,,3,,4,,Mar 05
183,CAR,3,,,,,3,,0.6,,Mar 14
184,Chad,3,,,,,3,,0.2,,Mar 18
185,Liberia,3,,,,,3,,0.6,,Mar 15
186,Libya,3,+2,,,,3,,0.4,,Mar 23
187,Saint Lucia,3,,,,1,2,,16,,Mar 12
188,Sint Maarten,3,,,,,3,,70,,Mar 17
189,Somalia,3,,,,,3,,0.2,,Mar 15
190,MS Zaandam,2,,,,,2,,,,Mar 26
191,Anguilla,2,,,,,2,,133,,Mar 25
192,Belize,2,,,,,2,,5,,Mar 22
193,British Virgin Islands,2,,,,,2,,66,,Mar 24
194,Guinea-Bissau,2,,,,,2,,1,,Mar 24
195,Saint Kitts and Nevis,2,,,,,2,,38,,Mar 24
196,Turks and Caicos,2,,,,,2,,52,,Mar 22
197,Papua New Guinea,1,,,,,1,,0.1,,Mar 19
198,St. Vincent Grenadines,1,,,,,1,,9,,Mar 10
199,Timor-Leste,1,,,,,1,,0.8,,Mar 20
200,China,"81,394",+54,"3,295",+3,"74,971","3,128",886,57,2,Jan 10
201,Total:,"645,264","+48,952","29,957","+2,615","139,550","475,757","24,730",82.8,3.8,
